City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cidreira,-30.1811,-50.2056,20.54,63,97,2.91,BR,1692195098
1,badger,64.8,-147.5333,14.28,83,75,0.0,US,1692195098
2,piti village,13.4626,144.6933,28.49,86,0,2.06,GU,1692195099
3,bereeda,11.8704,51.0579,33.09,49,16,0.66,SO,1692195100
4,ushuaia,-54.8,-68.3,-0.74,80,23,1.19,AR,1692195100
5,grytviken,-54.2811,-36.5092,0.62,99,96,3.1,GS,1692195101
6,howard springs,-12.497,131.047,22.95,83,70,1.38,AU,1692195101
7,yellowknife,62.456,-114.3525,13.01,80,40,2.68,CA,1692195103
8,stanley,54.868,-1.6985,20.16,77,20,1.54,GB,1692195103
9,udachny,66.4167,112.4,20.25,52,100,2.62,RU,1692195104
10,hawaiian paradise park,19.5933,-154.9731,22.8,97,20,2.06,US,1692195104
11,kodiak,57.79,-152.4072,9.73,87,100,2.57,US,1692195105
12,rampur,28.8167,79.0333,30.19,70,100,1.97,IN,1692195105
13,al kharijah,25.4514,30.5464,37.89,14,0,8.18,EG,1692195106
14,blackmans bay,-43.0167,147.3167,6.07,79,100,3.16,AU,1692195107
15,bilibino,68.0546,166.4372,14.88,86,100,1.08,RU,1692195107
16,keflavik,64.0049,-22.5624,13.95,88,75,7.2,IS,1692195108
17,waitangi,-43.9535,-176.5597,8.79,73,100,6.63,NZ,1692195108
18,port-aux-francais,-49.35,70.2167,2.21,60,41,14.0,TF,1692195109
19,arraial do cabo,-22.9661,-42.0278,22.92,78,75,8.23,BR,1692195109
20,cooper's town,26.8667,-77.5167,29.58,73,100,6.12,BS,1692195110
21,marcon-gaggio-colmello,45.5644,12.2989,34.52,37,0,2.06,IT,1692195111
22,klyuchi,52.2667,79.1667,17.72,56,100,2.45,RU,1692195111
23,la sarre,48.8002,-79.1996,17.22,68,100,2.54,CA,1692195112
24,utrik,11.2278,169.8474,27.75,79,23,4.87,MH,1692195112
25,kailua-kona,19.6406,-155.9956,24.98,82,0,3.09,US,1692195113
